frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
223,2.109,8.627,115.9,17234,74545,0,17195,12949,0,0,43,30.00,16.50,18.00,50.6,boot
224,2.118,8.490,117.8,17230,74528,0,17191,12945,0,0,43,30.00,16.50,18.00,50.8,boot
225,2.126,8.662,115.4,17232,74541,0,17193,12947,0,0,43,30.00,16.50,18.00,51.0,boot
226,2.135,8.511,117.5,17244,74601,0,17205,12959,0,0,43,30.00,16.50,18.00,51.2,boot
227,2.143,8.505,117.6,17257,74651,0,17218,12966,0,0,43,30.00,16.50,18.00,51.4,boot
228,2.152,9.537,104.9,17260,74666,0,17221,12969,0,0,43,30.00,16.50,18.00,51.6,boot
229,2.161,17.021,58.8,17262,74696,0,17223,12976,0,0,43,30.00,16.50,18.00,51.9,boot
230,2.178,16.314,61.3,17282,74798,0,17243,12995,0,0,43,30.00,16.50,18.00,52.3,boot
231,2.195,8.265,121.0,17285,74807,0,17246,12998,0,0,43,30.00,16.50,18.00,52.7,boot
232,2.203,8.142,122.8,17289,74830,0,17250,13002,0,0,43,30.00,16.50,18.00,52.9,boot
233,2.211,8.442,118.5,17307,74923,0,17268,13020,0,0,43,30.00,16.50,18.00,53.1,boot
234,2.220,8.422,118.7,17328,75028,0,17289,13041,0,0,43,30.00,16.50,18.00,53.3,boot
235,2.228,8.725,114.6,17344,75105,0,17305,13057,0,0,43,30.00,16.50,18.00,53.5,boot
236,2.237,8.433,118.6,17307,74917,0,17268,13020,0,0,43,30.00,16.50,18.00,53.7,boot
237,2.245,9.956,100.4,17298,74875,0,17259,13011,0,0,43,30.00,16.50,18.00,53.9,boot
238,2.255,11.301,88.5,17321,74993,0,17282,13034,0,0,43,30.00,16.50,18.00,54.1,boot
239,2.266,11.082,90.2,17348,75131,0,17309,13061,0,0,43,30.00,16.50,18.00,54.4,boot
240,2.278,8.797,113.7,17351,75137,0,17312,13064,0,0,43,30.00,16.50,18.00,54.7,boot
241,2.286,8.785,113.8,17350,75132,0,17311,13063,0,0,43,30.00,16.50,18.00,54.9,boot
242,2.295,8.645,115.7,17361,75187,0,17322,13074,0,0,43,30.00,16.50,18.00,55.1,boot
243,2.304,8.548,117.0,17372,75242,0,17333,13085,0,0,43,30.00,16.50,18.00,55.3,boot
244,2.312,8.824,113.3,17388,75319,0,17349,13101,0,0,43,30.00,16.50,18.00,55.5,boot
245,2.321,11.018,90.8,17386,75312,0,17347,13099,0,0,43,30.00,16.50,18.00,55.7,boot
246,2.332,15.460,64.7,17392,75336,0,17353,13105,0,0,43,30.00,16.50,18.00,56.0,boot
247,2.348,11.131,89.8,17400,75376,0,17361,13113,0,0,43,30.00,16.50,18.00,56.3,boot
248,2.359,9.359,106.8,17406,75406,0,17367,13119,0,0,43,30.00,16.50,18.00,56.6,boot
249,2.368,8.335,120.0,17415,75448,0,17376,13128,0,0,43,30.00,16.50,18.00,56.8,boot
250,2.377,9.798,102.1,17427,75507,0,17388,13139,0,0,43,30.00,16.50,18.00,57.0,boot
251,2.386,13.308,75.1,17430,75519,0,17391,13142,0,0,43,30.00,16.50,18.00,57.3,boot
252,2.400,11.343,88.2,17443,75584,0,17404,13155,0,0,43,30.00,16.50,18.00,57.6,boot
253,2.411,8.546,117.0,17449,75605,0,17410,13161,0,0,43,30.00,16.50,18.00,57.9,boot
254,2.420,8.168,122.4,17462,75667,0,17423,13174,0,0,43,30.00,16.50,18.00,58.1,boot
255,2.428,8.207,121.8,17462,75670,0,17423,13174,0,0,43,30.00,16.50,18.00,58.3,boot
256,2.436,8.470,118.1,17473,75728,0,17434,13185,0,0,43,30.00,16.50,18.00,58.5,boot
257,2.445,8.696,115.0,17481,75768,0,17442,13193,0,0,43,30.00,16.50,18.00,58.7,boot
258,2.453,8.401,119.0,17492,75826,0,17453,13204,0,0,43,30.00,16.50,18.00,58.9,boot
259,2.462,8.264,121.0,17494,75842,0,17455,13206,0,0,43,30.00,16.50,18.00,59.1,boot
